,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
2106,8511,Northern Beaches Secondary College Cromer Campus,743.4,Secondary School,Metropolitan North,Major Cities of Australia,-33.737765,151.284453,12.450000000000001,60.0
2107,8512,Narrabeen Sports High School,1040.5,Secondary School,Metropolitan North,Major Cities of Australia,-33.700941,151.298401,12.450000000000001,84.0
2108,8513,Brisbane Water Secondary College Umina Campus,910.0,Secondary School,Central Coast,Major Cities of Australia,-33.507421,151.308139,12.450000000000001,73.0
2109,8514,Plumpton High School,998.8,Secondary School,Metropolitan West,Major Cities of Australia,-33.748126,150.835498,12.450000000000001,81.0
2110,8515,Gorokan High School,1012.0,Secondary School,Central Coast,Major Cities of Australia,-33.242182,151.508233,12.450000000000001,82.0
2111,8516,Cambridge Park High School,690.4,Secondary School,Metropolitan West,Major Cities of Australia,-33.752164,150.732892,12.450000000000001,56.0
2112,8517,"Denison College of Secondary Education, Kelso High Campus",806.5999999999999,Secondary School,Western 1,Inner Regional Australia,-33.410541,149.61444,12.450000000000001,65.0
2113,8518,Canowindra High School,263.1,Secondary School,Western 1,Inner Regional Australia,-33.55892,148.670951,12.450000000000001,22.0
2114,8519,Warialda High School,156.39999999999998,Secondary School,North Western 1,Outer Regional Australia,-29.547875,150.574806,12.450000000000001,13.0
2115,8520,"The Rivers Secondary College, Kadina High Campus",402.8,Secondary School,Upper North Coast,Inner Regional Australia,-28.81788,153.33864,12.450000000000001,33.0
2116,8521,Elderslie High School,1048.0,Secondary School,Dharawal,Major Cities of Australia,-34.052603,150.715295,12.450000000000001,85.0
2117,8522,Blaxland High School,972.4,Secondary School,Metropolitan West,Major Cities of Australia,-33.754247,150.60859,12.450000000000001,79.0
2118,8524,Karabar High School,947.6,Secondary School,Upper South Coast,Major Cities of Australia,-35.365337,149.224822,12.450000000000001,77.0
2119,8525,Peel High School,736.2,Secondary School,North Western 2,Inner Regional Australia,-31.099764,150.89299,12.450000000000001,60.0
2120,8526,Colo High School,884.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.569359,150.708204,12.450000000000001,71.0
2121,8527,Toormina High School,781.8,Secondary School,Lower North Coast,Inner Regional Australia,-30.351016,153.084399,12.450000000000001,63.0
2122,8528,Chifley College Bidwill Campus,651.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.733854,150.827271,12.450000000000001,53.0
2123,8530,Newtown High School of Performing Arts,1098.1,Secondary School,Metropolitan East,Major Cities of Australia,-33.899534,151.178338,12.450000000000001,89.0
2124,8531,St Johns Park High School,929.3,Secondary School,Metropolitan South West,Major Cities of Australia,-33.873073,150.892002,12.450000000000001,75.0
2125,8532,Leumeah High School,733.8,Secondary School,Dharawal,Major Cities of Australia,-34.054339,150.84737,12.450000000000001,59.0
2126,8533,Terrigal High School,969.6,Secondary School,Central Coast,Major Cities of Australia,-33.442167,151.429342,12.450000000000001,78.0
2127,8534,Great Lakes College Forster Campus,613.0,Secondary School,Manning,Inner Regional Australia,-32.215652,152.52788,12.450000000000001,50.0
2128,8535,Concord High School,1262.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.864062,151.109271,12.450000000000001,102.0
2129,8536,Narooma High School,487.0,Secondary School,Lower South Coast,Outer Regional Australia,-36.235506,150.128648,12.450000000000001,40.0
2130,8539,Sydney Secondary College Blackwattle Bay Campus,803.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.875142,151.188357,12.450000000000001,65.0
2131,8540,Marrickville High School,469.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.905781,151.155995,12.450000000000001,38.0
2132,8541,Keira High School,893.4,Secondary School,Upper South Coast,Major Cities of Australia,-34.405282,150.88651,12.450000000000001,72.0
2133,8542,Smiths Hill High School,727.8,Secondary School,Upper South Coast,Major Cities of Australia,-34.418889,150.89561,12.450000000000001,59.0
2134,8543,Dubbo College Delroy Campus,567.0,Secondary School,Western 1,Inner Regional Australia,-32.251619,148.582683,12.450000000000001,46.0
2135,8544,Lisarow High School,823.8,Secondary School,Central Coast,Major Cities of Australia,-33.385327,151.370354,12.450000000000001,67.0
2136,8545,South Sydney High School,638.5,Secondary School,Metropolitan East,Major Cities of Australia,-33.944154,151.234397,12.450000000000001,52.0
2137,8546,Gulgong High School,301.8,Secondary School,North Western 1,Outer Regional Australia,-32.360172,149.540002,12.450000000000001,25.0
2138,8547,Northlakes High School,825.4,Secondary School,Central Coast,Major Cities of Australia,-33.216762,151.513395,12.450000000000001,67.0
2139,8548,Woolgoolga High School,810.3999999999999,Secondary School,Lower North Coast,Inner Regional Australia,-30.100448,153.190225,12.450000000000001,65.0
2140,8550,Fairfield High School,1169.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.865214,150.958647,12.450000000000001,94.0
2141,8551,Sarah Redfern High School,670.0,Secondary School,Metropolitan South West,Major Cities of Australia,-34.026782,150.85088,12.450000000000001,54.0
2142,8552,Crestwood High School,1019.7,Secondary School,Metropolitan West,Major Cities of Australia,-33.743607,150.975672,12.450000000000001,82.0
2143,8553,Macquarie Fields High School,1114.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.996784,150.884901,12.450000000000001,90.0
2144,8554,"Hastings Secondary College, Westport Campus",614.3999999999999,Secondary School,Lower North Coast,Inner Regional Australia,-31.435345,152.895386,12.450000000000001,50.0
2145,8555,Rose Bay Secondary College,1342.8,Secondary School,Metropolitan East,Major Cities of Australia,-33.878347,151.276121,12.450000000000001,108.0
2146,8559,Jamison High School,926.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.775335,150.698118,12.450000000000001,75.0
2147,8560,Prairiewood High School,1231.8,Secondary School,Metropolitan South West,Major Cities of Australia,-33.85948,150.901709,12.450000000000001,99.0
2148,8561,Shoalhaven High School,581.0,Secondary School,Upper South Coast,Inner Regional Australia,-34.897296,150.610096,12.450000000000001,47.0
