,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
0,1001,Abbotsford Public School,531.0,Primary School,Metropolitan East,Major Cities of Australia,-33.852728,151.131206,16.02857142857143,34.0
1,1002,Aberdeen Public School,191.0,Primary School,Hunter,Inner Regional Australia,-32.166098,150.888095,16.02857142857143,12.0
2,1003,Abermain Public School,270.0,Primary School,Hunter,Major Cities of Australia,-32.80892,151.426499,16.02857142857143,17.0
3,1007,Adaminaby Public School,19.0,Primary School,Lower South Coast,Outer Regional Australia,-35.993292,148.776721,16.02857142857143,2.0
4,1008,Adamstown Public School,317.0,Primary School,Hunter,Major Cities of Australia,-32.932213,151.730971,16.02857142857143,20.0
5,1009,Adelong Public School,61.0,Primary School,Riverina 1,Inner Regional Australia,-35.312333,148.062802,16.02857142857143,4.0
6,1015,Albion Park Public School,469.0,Primary School,Upper South Coast,Major Cities of Australia,-34.570257,150.77262,16.02857142857143,30.0
7,1016,Timbumburi Public School,154.0,Primary School,North Western 2,Outer Regional Australia,-31.203781,150.915629,16.02857142857143,10.0
8,1017,Albury Public School,633.0,Primary School,Riverina 1,Inner Regional Australia,-36.082454,146.919253,16.02857142857143,40.0
9,1019,Albury West Public School,156.0,Primary School,Riverina 1,Inner Regional Australia,-36.07783,146.895548,16.02857142857143,10.0
10,1028,Alma Public School,266.0,Primary School,Western 3,Outer Regional Australia,-31.982217,141.462443,16.02857142857143,17.0
11,1030,Alstonville Public School,375.0,Primary School,Upper North Coast,Inner Regional Australia,-28.838471,153.438172,16.02857142857143,24.0
12,1040,Anna Bay Public School,368.0,Primary School,Hunter,Inner Regional Australia,-32.77637,152.089912,16.02857142857143,23.0
13,1041,Annandale Public School,410.0,Primary School,Metropolitan East,Major Cities of Australia,-33.885782,151.169599,16.02857142857143,26.0
14,1042,Annandale North Public School,397.0,Primary School,Metropolitan East,Major Cities of Australia,-33.877905,151.171835,16.02857142857143,25.0
15,1045,Appin Public School,340.0,Primary School,Dharawal,Inner Regional Australia,-34.198417,150.78766,16.02857142857143,22.0
16,1048,Arcadia Public School,86.0,Primary School,Metropolitan North,Inner Regional Australia,-33.623487,151.051031,16.02857142857143,6.0
17,1057,Armidale City Public School,453.0,Primary School,North Western 2,Inner Regional Australia,-30.519501,151.664056,16.02857142857143,29.0
18,1058,Drummond Memorial Public School,174.0,Primary School,North Western 2,Inner Regional Australia,-30.511469,151.650715,16.02857142857143,11.0
19,1061,Artarmon Public School,1278.0,Primary School,Metropolitan North,Major Cities of Australia,-33.811249,151.186001,16.02857142857143,80.0
20,1064,Ashbury Public School,384.0,Primary School,Metropolitan East,Major Cities of Australia,-33.898833,151.11944,16.02857142857143,24.0
21,1065,Ashfield Public School,471.0,Primary School,Metropolitan East,Major Cities of Australia,-33.889723,151.12821,16.02857142857143,30.0
22,1070,Asquith Public School,455.0,Primary School,Metropolitan North,Major Cities of Australia,-33.685729,151.112177,16.02857142857143,29.0
23,1071,Attunga Public School,28.0,Primary School,North Western 2,Outer Regional Australia,-30.930445,150.846575,16.02857142857143,2.0
24,1073,Auburn North Public School,662.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.841669,151.038618,16.02857142857143,42.0
25,1075,Auburn West Public School,593.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.860931,151.019764,16.02857142857143,37.0
26,1076,Austinmer Public School,296.0,Primary School,Upper South Coast,Major Cities of Australia,-34.305398,150.934991,16.02857142857143,19.0
27,1077,Austral Public School,294.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.934487,150.812638,16.02857142857143,19.0
28,1081,Avoca Public School,3.0,Primary School,Upper South Coast,Inner Regional Australia,-34.612697,150.479766,16.02857142857143,1.0
29,1082,Avoca Beach Public School,475.0,Primary School,Central Coast,Major Cities of Australia,-33.471154,151.430745,16.02857142857143,30.0
30,1084,Awaba Public School,40.0,Primary School,Hunter,Major Cities of Australia,-33.010554,151.538068,16.02857142857143,3.0
31,1085,Colo Vale Public School,183.0,Primary School,Upper South Coast,Inner Regional Australia,-34.401281,150.476178,16.02857142857143,12.0
32,1098,Bald Blair Public School,33.0,Primary School,North Western 2,Outer Regional Australia,-30.229893,151.785056,16.02857142857143,2.0
33,1104,Seaforth Public School,510.0,Primary School,Metropolitan North,Major Cities of Australia,-33.793262,151.251235,16.02857142857143,32.0
34,1106,Balgownie Public School,333.0,Primary School,Upper South Coast,Major Cities of Australia,-34.386984,150.872076,16.02857142857143,21.0
35,1111,Ballimore Public School,14.0,Primary School,Western 1,Outer Regional Australia,-32.193596,148.899631,16.02857142857143,1.0
36,1112,Ballina Public School,273.0,Primary School,Upper North Coast,Inner Regional Australia,-28.869724,153.563707,16.02857142857143,17.0
37,1118,Bangalow Public School,242.0,Primary School,Upper North Coast,Inner Regional Australia,-28.68554,153.525743,16.02857142857143,15.0
38,1121,Banksmeadow Public School,301.0,Primary School,Metropolitan East,Major Cities of Australia,-33.953739,151.20661,16.02857142857143,19.0
39,1123,Greenacre Public School,840.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.911161,151.057581,16.02857142857143,53.0
40,1124,Bankstown North Public School,344.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.904888,151.038043,16.02857142857143,22.0
41,1129,Banora Point Public School,574.0,Primary School,Upper North Coast,Major Cities of Australia,-28.222422,153.543702,16.02857142857143,36.0
42,1134,Bargo Public School,279.0,Primary School,Dharawal,Inner Regional Australia,-34.292889,150.58274,16.02857142857143,18.0
43,1135,Barham Public School,130.0,Primary School,Riverina 2,Outer Regional Australia,-35.626915,144.127977,16.02857142857143,9.0
44,1136,Barkers Vale Public School,34.0,Primary School,Upper North Coast,Inner Regional Australia,-28.54902,153.14927,16.02857142857143,3.0
45,1137,Barmedman Public School,7.0,Primary School,Riverina 1,Outer Regional Australia,-34.148277,147.385078,16.02857142857143,1.0
46,1138,Barnsley Public School,300.0,Primary School,Hunter,Major Cities of Australia,-32.933094,151.594552,16.02857142857143,19.0
47,1139,Barooga Public School,105.0,Primary School,Riverina 2,Inner Regional Australia,-35.912963,145.695985,16.02857142857143,7.0
48,1143,Barrington Public School,43.0,Primary School,Manning,Outer Regional Australia,-31.971159,151.911058,16.02857142857143,3.0
49,1146,Baryulgil Public School,11.0,Primary School,Upper North Coast,Outer Regional Australia,-29.2235,152.605615,16.02857142857143,1.0
50,1148,Bass Hill Public School,384.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.905902,151.005779,16.02857142857143,24.0
51,1149,Batemans Bay Public School,554.0,Primary School,Lower South Coast,Inner Regional Australia,-35.700051,150.188373,16.02857142857143,35.0
52,1150,Bathurst Public School,564.0,Primary School,Western 1,Inner Regional Australia,-33.420942,149.570615,16.02857142857143,36.0
53,1160,Beckom Public School,8.0,Primary School,Riverina 1,Outer Regional Australia,-34.327211,146.962928,16.02857142857143,1.0
54,1164,Bedgerabong Public School,41.0,Primary School,Western 1,Outer Regional Australia,-33.361353,147.679318,16.02857142857143,3.0
55,1165,Beechwood Public School,166.0,Primary School,Lower North Coast,Inner Regional Australia,-31.435535,152.68094,16.02857142857143,11.0
56,1166,Beecroft Public School,896.0,Primary School,Metropolitan North,Major Cities of Australia,-33.752085,151.06462,16.02857142857143,56.0
57,1167,Beelbangera Public School,178.0,Primary School,Riverina 1,Outer Regional Australia,-34.252836,146.101067,16.02857142857143,12.0
58,1168,Bega Valley Public School,298.0,Primary School,Lower South Coast,Outer Regional Australia,-36.670545,149.839095,16.02857142857143,19.0
59,1175,Bellata Public School,18.0,Primary School,North Western 1,Outer Regional Australia,-29.918659,149.796216,16.02857142857143,2.0
60,1177,Bellbird Public School,244.0,Primary School,Hunter,Inner Regional Australia,-32.859421,151.316705,16.02857142857143,16.0
61,1178,Bellbrook Public School,28.0,Primary School,Lower North Coast,Outer Regional Australia,-30.819094,152.508698,16.02857142857143,2.0
62,1179,Bellevue Hill Public School,524.0,Primary School,Metropolitan East,Major Cities of Australia,-33.886986,151.259785,16.02857142857143,33.0
63,1181,Bellingen Public School,378.0,Primary School,Lower North Coast,Outer Regional Australia,-30.45349,152.891887,16.02857142857143,24.0
64,1182,Belltrees Public School,11.0,Primary School,Hunter,Outer Regional Australia,-31.988753,151.129487,16.02857142857143,1.0
65,1183,Belmont Public School,328.0,Primary School,Hunter,Major Cities of Australia,-33.030134,151.662203,16.02857142857143,21.0
66,1185,Belmore North Public School,277.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.909885,151.084885,16.02857142857143,18.0
67,1186,Belmore South Public School,286.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.925735,151.091985,16.02857142857143,18.0
68,1189,Bemboka Public School,42.0,Primary School,Lower South Coast,Outer Regional Australia,-36.631309,149.571075,16.02857142857143,3.0
69,1191,Bendemeer Public School,17.0,Primary School,North Western 2,Outer Regional Australia,-30.886984,151.150991,16.02857142857143,1.0
70,1196,Ben Lomond Public School,11.0,Primary School,North Western 2,Outer Regional Australia,-30.017024,151.661287,16.02857142857143,1.0
71,1198,Ben Venue Public School,567.0,Primary School,North Western 2,Inner Regional Australia,-30.502884,151.67462,16.02857142857143,36.0
72,1199,Berala Public School,774.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.869714,151.028244,16.02857142857143,49.0
73,1201,Beresfield Public School,302.0,Primary School,Hunter,Major Cities of Australia,-32.803964,151.654863,16.02857142857143,19.0
74,1202,Berkeley Public School,324.0,Primary School,Upper South Coast,Major Cities of Australia,-34.480214,150.856493,16.02857142857143,21.0
75,1203,Berkeley Vale Public School,678.0,Primary School,Central Coast,Major Cities of Australia,-33.350515,151.435888,16.02857142857143,43.0
76,1204,Bermagui Public School,170.0,Primary School,Lower South Coast,Outer Regional Australia,-36.420776,150.063625,16.02857142857143,11.0
77,1205,Berowra Public School,385.0,Primary School,Metropolitan North,Major Cities of Australia,-33.618522,151.148996,16.02857142857143,24.0
78,1206,Berridale Public School,54.0,Primary School,Lower South Coast,Outer Regional Australia,-36.371444,148.827209,16.02857142857143,4.0
79,1207,Berrigan Public School,79.0,Primary School,Riverina 2,Outer Regional Australia,-35.659667,145.815664,16.02857142857143,5.0
80,1209,Berrima Public School,160.0,Primary School,Upper South Coast,Inner Regional Australia,-34.485882,150.340775,16.02857142857143,10.0
81,1211,Berry Public School,314.0,Primary School,Upper South Coast,Inner Regional Australia,-34.778317,150.689706,16.02857142857143,20.0
82,1215,Beverly Hills Public School,466.0,Primary School,Metropolitan East,Major Cities of Australia,-33.953449,151.085209,16.02857142857143,29.0
83,1217,Bexhill Public School,115.0,Primary School,Upper North Coast,Inner Regional Australia,-28.766026,153.345835,16.02857142857143,8.0
84,1223,Bigga Public School,8.0,Primary School,Western 1,Outer Regional Australia,-34.0847,149.144602,16.02857142857143,1.0
85,1224,Bilambil Public School,350.0,Primary School,Upper North Coast,Major Cities of Australia,-28.223742,153.468431,16.02857142857143,22.0
86,1227,Ocean Shores Public School,317.0,Primary School,Upper North Coast,Inner Regional Australia,-28.491203,153.540337,16.02857142857143,20.0
87,1228,Bilpin Public School,58.0,Primary School,Metropolitan West,Inner Regional Australia,-33.497331,150.516765,16.02857142857143,4.0
88,1230,Binalong Public School,34.0,Primary School,Riverina 1,Inner Regional Australia,-34.670108,148.625718,16.02857142857143,3.0
89,1231,Binda Public School,10.0,Primary School,Western 1,Outer Regional Australia,-34.331463,149.368114,16.02857142857143,1.0
90,1238,Binya Public School,18.0,Primary School,Riverina 1,Outer Regional Australia,-34.228678,146.353034,16.02857142857143,2.0
91,1240,Birchgrove Public School,389.0,Primary School,Metropolitan East,Major Cities of Australia,-33.853009,151.177045,16.02857142857143,25.0
92,1246,Blackheath Public School,342.0,Primary School,Metropolitan West,Inner Regional Australia,-33.639284,150.285831,16.02857142857143,22.0
93,1247,Black Hill Public School,82.0,Primary School,Hunter,Major Cities of Australia,-32.838523,151.617131,16.02857142857143,6.0
94,1249,Black Mountain Public School,21.0,Primary School,North Western 2,Outer Regional Australia,-30.308489,151.657688,16.02857142857143,2.0
95,1252,Blackville Public School,6.0,Primary School,North Western 1,Outer Regional Australia,-31.64044,150.237489,16.02857142857143,1.0
96,1254,Blakebrook Public School,64.0,Primary School,Upper North Coast,Inner Regional Australia,-28.763426,153.229992,16.02857142857143,4.0
97,1255,Blakehurst Public School,248.0,Primary School,Metropolitan East,Major Cities of Australia,-33.98298,151.115779,16.02857142857143,16.0
98,1256,Blandford Public School,21.0,Primary School,Hunter,Outer Regional Australia,-31.778585,150.892725,16.02857142857143,2.0
99,1257,Blaxcell Street Public School,907.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.858068,151.006125,16.02857142857143,57.0
100,1258,Blaxland Public School,119.0,Primary School,Metropolitan West,Major Cities of Australia,-33.737103,150.603489,16.02857142857143,8.0
101,1260,Blayney Public School,317.0,Primary School,Western 1,Inner Regional Australia,-33.528987,149.251583,16.02857142857143,20.0
102,1261,Blighty Public School,37.0,Primary School,Riverina 2,Outer Regional Australia,-35.580094,145.349272,16.02857142857143,3.0
103,1266,Boambee Public School,440.0,Primary School,Lower North Coast,Inner Regional Australia,-30.334055,153.077009,16.02857142857143,28.0
104,1269,Bobin Public School,14.0,Primary School,Manning,Outer Regional Australia,-31.712682,152.28388,16.02857142857143,1.0
105,1271,Bobs Farm Public School,31.0,Primary School,Hunter,Inner Regional Australia,-32.766796,152.010937,16.02857142857143,2.0
106,1272,Bodalla Public School,65.0,Primary School,Lower South Coast,Outer Regional Australia,-36.09938,150.053879,16.02857142857143,4.0
107,1274,Bogan Gate Public School,7.0,Primary School,Western 1,Outer Regional Australia,-33.104968,147.797859,16.02857142857143,1.0
108,1276,Boggabri Public School,69.0,Primary School,North Western 1,Outer Regional Australia,-30.705682,150.043053,16.02857142857143,5.0
109,1286,Bolwarra Public School,432.0,Primary School,Hunter,Major Cities of Australia,-32.706994,151.573008,16.02857142857143,27.0
110,1287,Bomaderry Public School,354.0,Primary School,Upper South Coast,Inner Regional Australia,-34.847379,150.608269,16.02857142857143,22.0
111,1288,Bombala Public School,125.0,Primary School,Lower South Coast,Outer Regional Australia,-36.918986,149.233792,16.02857142857143,8.0
112,1292,Bondi Beach Public School,585.0,Primary School,Metropolitan East,Major Cities of Australia,-33.8883,151.276821,16.02857142857143,37.0
113,1293,Bongongo Public School,15.0,Primary School,Riverina 1,Outer Regional Australia,-35.08463,148.399517,16.02857142857143,1.0
114,1296,Bonshaw Public School,16.0,Primary School,North Western 2,Outer Regional Australia,-29.046366,151.278092,16.02857142857143,1.0
115,1297,Bonville Public School,117.0,Primary School,Lower North Coast,Inner Regional Australia,-30.379782,153.032316,16.02857142857143,8.0
116,1302,Boolaroo Public School,68.0,Primary School,Hunter,Major Cities of Australia,-32.951196,151.622765,16.02857142857143,5.0
117,1303,Booligal Public School,7.0,Primary School,Riverina 2,Remote Australia,-33.86704,144.886395,16.02857142857143,1.0
118,1307,Boomi Public School,16.0,Primary School,North Western 1,Remote Australia,-28.724129,149.577268,16.02857142857143,1.0
119,1311,Booral Public School,108.0,Primary School,Manning,Inner Regional Australia,-32.471428,151.960736,16.02857142857143,7.0
120,1318,Boree Creek Public School,33.0,Primary School,Riverina 1,Outer Regional Australia,-35.105937,146.606338,16.02857142857143,2.0
121,1320,Boronia Park Public School,546.0,Primary School,Metropolitan North,Major Cities of Australia,-33.821414,151.135558,16.02857142857143,34.0
122,1321,Bossley Park Public School,410.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.858524,150.883076,16.02857142857143,26.0
123,1323,Botany Public School,286.0,Primary School,Metropolitan East,Major Cities of Australia,-33.94316,151.194687,16.02857142857143,18.0
124,1326,Bourke Public School,175.0,Primary School,Western 2,Remote Australia,-30.09351,145.94968,16.02857142857143,11.0
125,1334,Bowning Public School,30.0,Primary School,Upper South Coast,Inner Regional Australia,-34.769376,148.81153,16.02857142857143,2.0
126,1335,Bowral Public School,560.0,Primary School,Upper South Coast,Inner Regional Australia,-34.481178,150.419191,16.02857142857143,35.0
127,1341,Branxton Public School,375.0,Primary School,Hunter,Inner Regional Australia,-32.659391,151.350682,16.02857142857143,24.0
128,1345,Breadalbane Public School,6.0,Primary School,Upper South Coast,Inner Regional Australia,-34.790546,149.487576,16.02857142857143,1.0
129,1346,Colo Heights Public School,33.0,Primary School,Metropolitan West,Outer Regional Australia,-33.372972,150.739776,16.02857142857143,2.0
130,1347,Bredbo Public School,11.0,Primary School,Lower South Coast,Inner Regional Australia,-35.95399,149.14797,16.02857142857143,1.0
131,1354,Bribbaree Public School,8.0,Primary School,Western 1,Outer Regional Australia,-34.12042,147.874699,16.02857142857143,1.0
132,1358,Brighton-Le-Sands Public School,607.0,Primary School,Metropolitan East,Major Cities of Australia,-33.962357,151.148929,16.02857142857143,38.0
133,1360,Bringelly Public School,108.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.93791,150.730266,16.02857142857143,7.0
134,1361,Broadwater Public School,54.0,Primary School,Upper North Coast,Inner Regional Australia,-29.002773,153.437279,16.02857142857143,4.0
135,1363,Brocklesby Public School,12.0,Primary School,Riverina 1,Inner Regional Australia,-35.823911,146.677989,16.02857142857143,1.0
136,1367,Broke Public School,59.0,Primary School,Hunter,Inner Regional Australia,-32.744976,151.104334,16.02857142857143,4.0
137,1369,Broken Hill Public School,158.0,Primary School,Western 3,Outer Regional Australia,-31.956108,141.456502,16.02857142857143,10.0
138,1371,Broken Hill North Public School,246.0,Primary School,Western 3,Outer Regional Australia,-31.944457,141.471518,16.02857142857143,16.0
139,1372,Bronte Public School,374.0,Primary School,Metropolitan East,Major Cities of Australia,-33.900605,151.262011,16.02857142857143,24.0
140,1377,Brooklyn Public School,67.0,Primary School,Metropolitan North,Inner Regional Australia,-33.548414,151.214992,16.02857142857143,5.0
141,1379,Brookvale Public School,355.0,Primary School,Metropolitan North,Major Cities of Australia,-33.761678,151.270787,16.02857142857143,23.0
142,1387,Brungle Public School,13.0,Primary School,Riverina 1,Inner Regional Australia,-35.156755,148.233572,16.02857142857143,1.0
143,1389,Brunswick Heads Public School,230.0,Primary School,Upper North Coast,Inner Regional Australia,-28.541343,153.550848,16.02857142857143,15.0
144,1411,Bulli Public School,255.0,Primary School,Upper South Coast,Major Cities of Australia,-34.326951,150.912703,16.02857142857143,16.0
145,1414,Bundanoon Public School,160.0,Primary School,Upper South Coast,Inner Regional Australia,-34.657878,150.300442,16.02857142857143,10.0
146,1421,Bungendore Public School,510.0,Primary School,Upper South Coast,Inner Regional Australia,-35.255619,149.444628,16.02857142857143,32.0
147,1424,Bungwahl Public School,38.0,Primary School,Manning,Inner Regional Australia,-32.389144,152.448558,16.02857142857143,3.0
148,1425,Bunnaloo Public School,37.0,Primary School,Riverina 2,Outer Regional Australia,-35.786399,144.597923,16.02857142857143,3.0
149,1432,Burke Ward Public School,228.0,Primary School,Western 3,Outer Regional Australia,-31.960361,141.441054,16.02857142857143,15.0
150,1433,Burnside Public School,257.0,Primary School,Metropolitan West,Major Cities of Australia,-33.79258,151.018316,16.02857142857143,16.0
151,1445,Burrawang Public School,34.0,Primary School,Upper South Coast,Inner Regional Australia,-34.592222,150.51725,16.02857142857143,3.0
152,1447,Burren Junction Public School,36.0,Primary School,North Western 1,Remote Australia,-30.102686,148.964703,16.02857142857143,3.0
153,1449,Burringbar Public School,57.0,Primary School,Upper North Coast,Inner Regional Australia,-28.436645,153.466738,16.02857142857143,4.0
154,1453,Burrumbuttock Public School,30.0,Primary School,Riverina 1,Inner Regional Australia,-35.837489,146.800049,16.02857142857143,2.0
155,1455,Burwood Public School,570.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.8768,151.098987,16.02857142857143,36.0
156,1460,Buxton Public School,163.0,Primary School,Dharawal,Inner Regional Australia,-34.246971,150.544826,16.02857142857143,11.0
157,1470,Byron Bay Public School,664.0,Primary School,Upper North Coast,Inner Regional Australia,-28.647416,153.614826,16.02857142857143,42.0
158,1471,Cabbage Tree Island Public School,38.0,Primary School,Upper North Coast,Inner Regional Australia,-28.98367,153.457788,16.02857142857143,3.0
159,1472,Cabramatta Public School,657.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.895823,150.942629,16.02857142857143,41.0
160,1481,Cambewarra Public School,248.0,Primary School,Upper South Coast,Inner Regional Australia,-34.821537,150.556043,16.02857142857143,16.0
161,1482,Camden Public School,318.0,Primary School,Dharawal,Major Cities of Australia,-34.051998,150.693236,16.02857142857143,20.0
162,1483,Camdenville Public School,365.0,Primary School,Metropolitan East,Major Cities of Australia,-33.906146,151.175741,16.02857142857143,23.0
163,1485,Cammeray Public School,860.0,Primary School,Metropolitan North,Major Cities of Australia,-33.820422,151.211542,16.02857142857143,54.0
164,1486,Campbelltown Public School,318.0,Primary School,Dharawal,Major Cities of Australia,-34.070109,150.815634,16.02857142857143,20.0
165,1488,Campsie Public School,659.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.911863,151.104846,16.02857142857143,42.0
166,1490,Candelo Public School,82.0,Primary School,Lower South Coast,Outer Regional Australia,-36.768392,149.695674,16.02857142857143,6.0
167,1492,Caniaba Public School,41.0,Primary School,Upper North Coast,Inner Regional Australia,-28.830799,153.231317,16.02857142857143,3.0
168,1494,Canley Vale Public School,860.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.88676,150.937632,16.02857142857143,54.0
169,1495,Canobolas Public School,133.0,Primary School,Western 1,Inner Regional Australia,-33.305942,149.04621,16.02857142857143,9.0
170,1497,Canterbury Public School,387.0,Primary School,Metropolitan East,Major Cities of Australia,-33.908761,151.122306,16.02857142857143,25.0
171,1498,Brisbania Public School,437.0,Primary School,Central Coast,Major Cities of Australia,-33.478822,151.357294,16.02857142857143,28.0
172,1499,Uranquinty Public School,35.0,Primary School,Riverina 1,Inner Regional Australia,-35.188793,147.249486,16.02857142857143,3.0
173,1501,Capertee Public School,4.0,Primary School,Western 1,Inner Regional Australia,-33.147074,149.985922,16.02857142857143,1.0
174,1502,Captains Flat Public School,50.0,Primary School,Upper South Coast,Inner Regional Australia,-35.587192,149.450147,16.02857142857143,4.0
175,1503,Caragabal Public School,35.0,Primary School,Western 1,Outer Regional Australia,-33.84532,147.744452,16.02857142857143,3.0
176,1504,Carcoar Public School,21.0,Primary School,Western 1,Inner Regional Australia,-33.612326,149.142432,16.02857142857143,2.0
177,1505,Cardiff Public School,263.0,Primary School,Hunter,Major Cities of Australia,-32.945779,151.657754,16.02857142857143,17.0
178,1506,Cargo Public School,29.0,Primary School,Western 1,Outer Regional Australia,-33.427612,148.807697,16.02857142857143,2.0
179,1507,Carinda Public School,10.0,Primary School,Western 2,Remote Australia,-30.461882,147.687555,16.02857142857143,1.0
180,1508,Caringbah Public School,316.0,Primary School,Metropolitan East,Major Cities of Australia,-34.053433,151.122988,16.02857142857143,20.0
181,1512,Carlton Public School,826.0,Primary School,Metropolitan East,Major Cities of Australia,-33.963496,151.12246,16.02857142857143,52.0
182,1513,Carlton South Public School,648.0,Primary School,Metropolitan East,Major Cities of Australia,-33.973045,151.128287,16.02857142857143,41.0
183,1515,Carool Public School,16.0,Primary School,Upper North Coast,Inner Regional Australia,-28.229959,153.4293,16.02857142857143,1.0
184,1517,Carrathool Public School,7.0,Primary School,Riverina 2,Outer Regional Australia,-34.409166,145.431622,16.02857142857143,1.0
185,1518,Carrington Public School,120.0,Primary School,Hunter,Major Cities of Australia,-32.912446,151.765328,16.02857142857143,8.0
186,1520,Carroll Public School,31.0,Primary School,North Western 1,Outer Regional Australia,-30.986074,150.447096,16.02857142857143,2.0
187,1526,Casino Public School,663.0,Primary School,Upper North Coast,Inner Regional Australia,-28.867384,153.048053,16.02857142857143,42.0
188,1527,Cassilis Public School,9.0,Primary School,Hunter,Outer Regional Australia,-32.004552,149.978075,16.02857142857143,1.0
189,1529,Castle Hill Public School,1082.0,Primary School,Metropolitan North,Major Cities of Australia,-33.727887,151.004663,16.02857142857143,68.0
190,1535,Cattai Public School,64.0,Primary School,Metropolitan West,Inner Regional Australia,-33.558762,150.906904,16.02857142857143,4.0
191,1537,Cawdor Public School,85.0,Primary School,Dharawal,Major Cities of Australia,-34.109711,150.673727,16.02857142857143,6.0
192,1542,Cessnock Public School,332.0,Primary School,Hunter,Inner Regional Australia,-32.840405,151.363808,16.02857142857143,21.0
193,1543,Cessnock East Public School,238.0,Primary School,Hunter,Inner Regional Australia,-32.827606,151.369746,16.02857142857143,15.0
194,1545,Cessnock West Public School,385.0,Primary School,Hunter,Inner Regional Australia,-32.838387,151.344863,16.02857142857143,24.0
195,1547,Chandler Public School,7.0,Primary School,North Western 2,Outer Regional Australia,-30.518553,152.053551,16.02857142857143,1.0
196,1548,The Channon Public School,25.0,Primary School,Upper North Coast,Inner Regional Australia,-28.675099,153.280288,16.02857142857143,2.0
197,1550,Charlestown Public School,170.0,Primary School,Hunter,Major Cities of Australia,-32.965494,151.697486,16.02857142857143,11.0
198,1551,Pacific Palms Public School,287.0,Primary School,Manning,Inner Regional Australia,-32.341023,152.539306,16.02857142857143,18.0
199,1553,Chatsworth Island Public School,52.0,Primary School,Upper North Coast,Inner Regional Australia,-29.387954,153.231645,16.02857142857143,4.0
200,1558,Chillingham Public School,31.0,Primary School,Upper North Coast,Inner Regional Australia,-28.311937,153.275569,16.02857142857143,2.0
201,1560,Chipping Norton Public School,333.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.909108,150.96085,16.02857142857143,21.0
202,1564,Clarence Town Public School,128.0,Primary School,Hunter,Inner Regional Australia,-32.588731,151.777207,16.02857142857143,8.0
203,1566,Clemton Park Public School,591.0,Primary School,Metropolitan East,Major Cities of Australia,-33.929708,151.108423,16.02857142857143,37.0
204,1573,Clovelly Public School,602.0,Primary School,Metropolitan East,Major Cities of Australia,-33.907431,151.26028,16.02857142857143,38.0
205,1574,Clunes Public School,69.0,Primary School,Upper North Coast,Inner Regional Australia,-28.724778,153.408852,16.02857142857143,5.0
206,1578,Cobar Public School,217.0,Primary School,Western 2,Remote Australia,-31.502199,145.836609,16.02857142857143,14.0
207,1579,Cobargo Public School,75.0,Primary School,Lower South Coast,Outer Regional Australia,-36.386942,149.882818,16.02857142857143,5.0
208,1580,Cobbitty Public School,316.0,Primary School,Dharawal,Major Cities of Australia,-34.0159,150.685938,16.02857142857143,20.0
209,1583,Coffee Camp Public School,30.0,Primary School,Upper North Coast,Inner Regional Australia,-28.662664,153.220638,16.02857142857143,2.0
210,1584,Coffs Harbour Public School,472.0,Primary School,Lower North Coast,Inner Regional Australia,-30.30196,153.120372,16.02857142857143,30.0
211,1587,Coledale Public School,155.0,Primary School,Upper South Coast,Major Cities of Australia,-34.289546,150.947366,16.02857142857143,10.0
212,1590,Collector Public School,35.0,Primary School,Upper South Coast,Inner Regional Australia,-34.914221,149.433144,16.02857142857143,3.0
213,1593,Collins Creek Public School,10.0,Primary School,Upper North Coast,Inner Regional Australia,-28.489297,153.022547,16.02857142857143,1.0
214,1596,Colyton Public School,889.0,Primary School,Metropolitan West,Major Cities of Australia,-33.777199,150.81316,16.02857142857143,56.0
215,1601,Comboyne Public School,35.0,Primary School,Lower North Coast,Outer Regional Australia,-31.605308,152.472736,16.02857142857143,3.0
216,1604,Comleroy Road Public School,123.0,Primary School,Metropolitan West,Inner Regional Australia,-33.506475,150.69763,16.02857142857143,8.0
217,1605,Como Public School,104.0,Primary School,Metropolitan East,Major Cities of Australia,-34.001832,151.069127,16.02857142857143,7.0
218,1606,Conargo Public School,10.0,Primary School,Riverina 2,Outer Regional Australia,-35.305269,145.17886,16.02857142857143,1.0
219,1607,Concord Public School,302.0,Primary School,Metropolitan South West,Major Cities of Australia,-33.863224,151.106944,16.02857142857143,19.0
